household_id,adult_id,job_cat,pro_contacts,company_id
0,0,Indus_other,52,6
0,1,Hotel_Restaurant,114,21
1,2,Shops_other,14,45
1,3,Administration_schools,33,10
2,4,Services_other,770,34
2,5,Shops_other,5,1
2,6,,0,
3,7,Shops_other,9,20
3,8,Administration_schools,147,57
4,9,Services_other,273,68
4,10,Hotel_Restaurant,54,4
5,11,Construction,1,6
5,12,,0,
5,13,Indus_food,69,3
6,14,Indus_other,28,18
6,15,Administration_schools,26,29
6,16,Services_other,271,161
7,17,,0,
7,18,Health,138,1
8,19,Shops_other,12,109
8,20,Shops_other,15,62
9,21,,0,
9,22,Administration_schools,139,13
10,23,Health,17,6
10,24,Construction,1,19
11,25,Shops_other,1,13
11,26,,0,
12,27,Indus_food,37,9
12,28,Services_other,313,186
12,29,Health,286,6
13,30,Administration_schools,28,55
13,31,Construction,1,4
14,32,Administration_schools,116,16
14,33,Services_other,987,4
15,34,,0,
15,35,,0,
15,36,Indus_other,70,6
16,37,Shops_other,9,41
16,38,,0,
16,39,Services_other,986,137
17,40,Indus_other,36,19
17,41,Transportation,1486,0
18,42,,0,
18,43,Services_other,1382,83
19,44,Administration_schools,123,50
19,45,Services_other,1177,107
20,46,Administration_schools,67,54
20,47,,0,
21,48,,0,
21,49,Administration_schools,114,39
21,50,,0,
21,51,Indus_other,52,27
22,52,Health,202,2
22,53,,0,
23,54,,0,
23,55,Services_other,707,191
24,56,Administration_schools,138,3
24,57,Administration_schools,44,38
24,58,,0,
25,59,Administration_schools,71,2
25,60,Health,80,6
25,61,,0,
26,62,Administration_schools,143,60
26,63,Services_other,167,33
27,64,Services_other,310,208
27,65,Services_other,1074,136
27,66,,0,
28,67,,0,
28,68,,0,
29,69,Construction,1,5
29,70,Indus_other,62,17
30,71,Hotel_Restaurant,10,46
30,72,Health,72,4
30,73,,0,
31,74,Services_other,961,233
31,75,,0,
31,76,Administration_schools,75,13
32,77,Indus_other,62,34
32,78,Indus_other,43,21
32,79,,0,
33,80,Services_other,1145,93
33,81,Agriculture_fishing,1,29
34,82,,0,
34,83,Agriculture_fishing,1,59
34,84,Services_other,225,217
34,85,Shops_other,13,7
34,86,,0,
35,87,Services_other,1387,193
35,88,Administration_schools,30,24
35,89,,0,
36,90,Services_other,694,150
36,91,,0,
37,92,Health,131,4
37,93,,0,
38,94,,0,
38,95,,0,
39,96,Shops_other,13,74
39,97,Agriculture_fishing,2,5
39,98,Indus_other,21,18
40,99,,0,
40,100,Administration_schools,135,54
40,101,Shops_other,2,48
41,102,,0,
41,103,,0,
42,104,,0,
42,105,Services_other,891,146
43,106,Services_other,1324,82
43,107,Hotel_Restaurant,57,29
44,108,Shops_other,2,22
44,109,Indus_other,28,35
44,110,Services_other,761,164
44,111,Health,172,5
45,112,,0,
45,113,,0,
46,114,,0,
46,115,,0,
47,116,Transportation,336,6
47,117,Indus_other,33,35
48,118,Administration_schools,100,79
48,119,Administration_schools,27,60
49,120,Services_other,400,73
49,121,Shops_other,11,81
50,122,,0,
50,123,Indus_food,39,3
51,124,,0,
51,125,Services_other,732,139
51,126,Indus_other,18,30
52,127,,0,
52,128,Services_other,556,240
52,129,,0,
53,130,Shops_other,9,96
53,131,Shops_other,4,48
54,132,Administration_schools,22,18
54,133,Indus_other,61,18
55,134,Services_other,1138,94
55,135,Services_other,58,48
55,136,,0,
56,137,,0,
56,138,Transportation,499,16
57,139,Services_other,158,85
57,140,,0,
58,141,Transportation,1087,3
58,142,,0,
59,143,Indus_other,46,26
59,144,Administration_schools,10,7
60,145,,0,
60,146,Administration_schools,69,13
61,147,,0,
61,148,Shops_other,5,17
62,149,,0,
62,150,Construction,2,56
62,151,,0,
63,152,Services_other,403,81
63,153,Services_other,1029,13
64,154,Services_other,984,32
64,155,,0,
65,156,,0,
65,157,,0,
66,158,Construction,2,18
66,159,Hotel_Restaurant,130,20
67,160,Agriculture_fishing,2,28
67,161,Shops_other,6,92
68,162,Administration_schools,122,24
68,163,,0,
69,164,Shops_other,1,54
69,165,Shops_other,9,2
70,166,,0,
70,167,Shops_other,9,44
70,168,Services_other,416,237
70,169,,0,
71,170,,0,
71,171,,0,
72,172,,0,
72,173,Construction,0,39
73,174,Agriculture_fishing,1,73
73,175,,0,
74,176,,0,
74,177,Indus_other,58,9
75,178,,0,
75,179,Shops_other,3,41
76,180,,0,
76,181,Construction,3,58
77,182,Services_other,1158,197
77,183,Administration_schools,117,27
77,184,,0,
77,185,Agriculture_fishing,0,68
77,186,Administration_schools,105,41
77,187,,0,
77,188,Indus_food,55,9
78,189,Construction,3,4
78,190,,0,
78,191,Shops_other,2,40
79,192,Administration_schools,136,75
79,193,Health,218,3
79,194,Indus_food,51,0
79,195,Shops_other,1,90
80,196,Administration_schools,117,19
80,197,Administration_schools,43,9
81,198,Indus_other,30,2
81,199,,0,
81,200,,0,
82,201,,0,
82,202,Agriculture_fishing,2,3
83,203,Administration_schools,150,26
83,204,,0,
84,205,Services_other,415,144
84,206,Administration_schools,123,16
85,207,,0,
85,208,Transportation,1338,6
86,209,,0,
86,210,Services_other,1346,164
87,211,Administration_schools,125,41
87,212,Administration_schools,18,40
88,213,,0,
88,214,,0,
88,215,Services_other,771,100
89,216,Hotel_Restaurant,17,4
89,217,Administration_schools,87,5
89,218,,0,
90,219,Health,74,5
90,220,Administration_schools,66,70
91,221,Services_other,1130,139
91,222,Indus_food,24,10
91,223,,0,
92,224,Health,157,5
92,225,Health,272,5
92,226,Administration_schools,46,46
93,227,,0,
93,228,Services_other,495,200
94,229,Administration_schools,52,3
94,230,,0,
95,231,Transportation,1142,0
95,232,,0,
96,233,Administration_schools,32,44
96,234,Administration_schools,70,18
97,235,Services_other,169,138
97,236,Administration_schools,104,57
98,237,,0,
98,238,,0,
99,239,Indus_other,55,35
99,240,Shops_other,11,1
100,241,Administration_schools,50,77
100,242,,0,
101,243,Health,53,5
101,244,Construction,3,69
102,245,Construction,1,26
102,246,Administration_schools,69,66
103,247,Services_other,481,83
103,248,,0,
104,249,,0,
104,250,Transportation,477,2
105,251,Services_other,852,160
105,252,,0,
106,253,,0,
106,254,Indus_food,52,9
106,255,Services_other,839,248
107,256,Services_other,494,198
107,257,,0,
107,258,Shops_other,6,41
108,259,Indus_other,46,34
108,260,,0,
109,261,,0,
109,262,Services_other,307,92
110,263,,0,
110,264,Indus_food,62,10
111,265,Indus_other,56,23
111,266,,0,
112,267,Construction,3,75
112,268,,0,
113,269,,0,
113,270,Services_other,1085,128
114,271,,0,
114,272,Services_other,1467,179
114,273,Services_other,13,76
115,274,,0,
115,275,,0,
115,276,,0,
116,277,Administration_schools,11,48
116,278,Indus_other,44,40
116,279,,0,
116,280,Health,217,3
116,281,,0,
116,282,Administration_schools,35,36
117,283,Services_other,895,95
117,284,,0,
117,285,Services_other,124,86
118,286,Administration_schools,39,14
118,287,,0,
118,288,Administration_schools,131,22
119,289,,0,
119,290,Administration_schools,51,75
120,291,,0,
120,292,,0,
121,293,,0,
121,294,,0,
122,295,Health,66,6
122,296,Shops_other,8,43
123,297,Shops_other,5,68
123,298,Transportation,311,1
124,299,Agriculture_fishing,1,48
124,300,Indus_other,60,20
124,301,Administration_schools,8,63
125,302,,0,
125,303,Shops_other,9,15
126,304,,0,
126,305,Shops_other,2,86
127,306,Health,201,0
127,307,,0,
127,308,Construction,0,60
128,309,Health,245,8
128,310,Administration_schools,122,18
129,311,Services_other,848,79
129,312,Transportation,449,12
130,313,Administration_schools,26,11
130,314,Shops_other,10,66
131,315,,0,
131,316,Administration_schools,56,58
132,317,Administration_schools,132,40
132,318,Health,131,1
133,319,Administration_schools,126,67
133,320,Indus_other,66,9
134,321,,0,
134,322,Shops_other,7,90
135,323,Services_other,804,177
135,324,,0,
136,325,Services_other,512,162
136,326,Administration_schools,23,76
137,327,Health,283,0
137,328,Indus_other,58,32
137,329,Shops_other,2,6
138,330,Shops_other,12,84
138,331,Administration_schools,27,21
138,332,Indus_other,55,16
139,333,Health,295,8
139,334,Administration_schools,27,79
140,335,Administration_schools,87,42
140,336,Transportation,358,3
141,337,,0,
141,338,Services_other,56,50
141,339,,0,
142,340,,0,
142,341,,0,
142,342,Hotel_Restaurant,36,1
143,343,Hotel_Restaurant,43,0
143,344,,0,
143,345,Administration_schools,58,42
143,346,Services_other,523,38
144,347,,0,
144,348,Administration_schools,78,7
144,349,Services_other,218,122
145,350,Indus_food,57,9
145,351,,0,
146,352,Administration_schools,41,3
146,353,,0,
147,354,,0,
147,355,Services_other,923,36
148,356,Services_other,1379,121
148,357,,0,
148,358,Shops_other,2,16
148,359,Services_other,587,154
148,360,Health,219,7
148,361,,0,
149,362,,0,
149,363,Services_other,1190,56
150,364,Administration_schools,29,75
150,365,Services_other,374,145
151,366,Administration_schools,51,56
151,367,,0,
152,368,Health,189,7
152,369,Services_other,736,227
153,370,Administration_schools,124,51
153,371,Health,263,2
153,372,Indus_other,42,34
154,373,Administration_schools,103,8
154,374,,0,
155,375,Hotel_Restaurant,32,3
155,376,Construction,2,28
155,377,Services_other,775,8
156,378,Shops_other,3,116
156,379,Services_other,1391,2
156,380,Construction,1,59
157,381,,0,
157,382,Shops_other,5,91
158,383,Services_other,521,137
158,384,Agriculture_fishing,2,71
159,385,Shops_other,3,3
159,386,Shops_other,8,18
160,387,,0,
160,388,,0,
161,389,Shops_other,14,117
161,390,,0,
162,391,Administration_schools,146,67
162,392,,0,
162,393,Indus_food,40,1
163,394,Services_other,446,10
163,395,Indus_other,35,33
164,396,Hotel_Restaurant,29,23
164,397,,0,
165,398,,0,
165,399,,0,
166,400,Shops_other,8,77
166,401,Administration_schools,119,62
167,402,Services_other,1317,92
167,403,Transportation,904,10
168,404,Services_other,1215,15
168,405,Indus_other,32,37
168,406,,0,
169,407,Indus_food,54,6
169,408,,0,
170,409,Services_other,743,3
170,410,Administration_schools,100,53
170,411,Transportation,937,0
171,412,Services_other,1329,121
171,413,Shops_other,9,19
172,414,,0,
172,415,Administration_schools,32,72
173,416,Services_other,432,145
173,417,Administration_schools,95,23
174,418,Administration_schools,60,66
174,419,,0,
175,420,,0,
175,421,Health,258,6
176,422,,0,
176,423,,0,
177,424,,0,
177,425,Hotel_Restaurant,43,19
177,426,Administration_schools,88,7
178,427,Health,262,6
178,428,,0,
179,429,Health,158,3
179,430,,0,
180,431,,0,
180,432,,0,
180,433,Services_other,643,155
181,434,,0,
181,435,Administration_schools,119,35
182,436,Health,29,7
182,437,Administration_schools,21,45
183,438,Services_other,1184,87
183,439,Shops_other,4,112
184,440,Services_other,682,1
184,441,,0,
184,442,,0,
185,443,,0,
185,444,,0,
186,445,Health,243,4
186,446,,0,
186,447,Services_other,426,229
186,448,Transportation,1437,16
187,449,,0,
187,450,,0,
188,451,Indus_other,74,18
188,452,Transportation,1216,9
188,453,Agriculture_fishing,2,29
188,454,Indus_other,38,10
188,455,,0,
189,456,Shops_other,12,47
189,457,Services_other,282,186
190,458,Administration_schools,23,31
190,459,Health,81,2
191,460,Administration_schools,121,68
191,461,Administration_schools,35,2
192,462,Hotel_Restaurant,4,20
192,463,Shops_other,6,90
193,464,Transportation,1384,8
193,465,Transportation,1394,2
194,466,,0,
194,467,Administration_schools,82,19
194,468,,0,
195,469,Indus_other,70,40
195,470,Administration_schools,10,41
195,471,Services_other,749,69
196,472,,0,
196,473,,0,
197,474,Indus_other,71,11
197,475,Indus_food,41,4
197,476,,0,
198,477,Services_other,489,208
198,478,Administration_schools,119,67
199,479,Services_other,849,179
199,480,Indus_other,62,15
199,481,Services_other,243,69
200,482,Transportation,1270,5
200,483,Hotel_Restaurant,76,16
201,484,,0,
201,485,Services_other,238,167
202,486,Administration_schools,53,74
202,487,Health,290,0
203,488,Administration_schools,9,40
203,489,Services_other,1133,202
203,490,,0,
204,491,,0,
204,492,Administration_schools,52,69
205,493,,0,
205,494,Administration_schools,60,78
206,495,Shops_other,2,1
206,496,Services_other,1282,52
207,497,,0,
207,498,Shops_other,3,16
208,499,Indus_other,36,21
208,500,Services_other,1384,39
208,501,Services_other,122,193
209,502,Administration_schools,126,15
209,503,,0,
209,504,,0,
210,505,Health,44,3
210,506,Services_other,441,248
210,507,Shops_other,3,42
211,508,,0,
211,509,,0,
212,510,Health,300,5
212,511,Indus_other,43,9
213,512,Health,50,6
213,513,Transportation,680,3
214,514,Administration_schools,86,13
214,515,,0,
215,516,Indus_other,54,38
215,517,,0,
216,518,Administration_schools,118,3
216,519,Administration_schools,29,63
217,520,Hotel_Restaurant,82,17
217,521,Services_other,140,81
218,522,,0,
218,523,,0,
218,524,Administration_schools,37,12
218,525,Construction,2,35
219,526,Administration_schools,124,77
219,527,,0,
219,528,,0,
220,529,Shops_other,1,31
220,530,Services_other,1166,50
220,531,Services_other,850,32
221,532,Administration_schools,130,58
221,533,Administration_schools,26,57
221,534,Services_other,631,171
221,535,,0,
222,536,Indus_other,23,6
222,537,Services_other,669,198
223,538,Transportation,1270,3
223,539,Agriculture_fishing,3,54
223,540,Indus_other,19,28
224,541,Agriculture_fishing,2,68
224,542,,0,
